model_name,target_batch_size,layer_index,layer_name,conv_type_basic,layer_type_for_experiment,input_shape,output_shape,N,Cin,Cout,Hin,Win,Hout,Wout,Kh,Kw,stride_h,stride_w,padding_h,padding_w,dilation_h,dilation_w,groups,weight_elements,input_elements,output_elements,theoretical_FLOPs,theoretical_memory_bytes,theoretical_OI_FLOPs_per_byte,ridge_point_used,roofline_class_theoretical,notes
efficientnet_b7,8,42,features.2.5.block.0.0,pointwise,pointwise_expand,"(8, 48, 56, 56)","(8, 288, 56, 56)",8,48,288,56,56,56,56,1,1,1,1,0,0,1,1,1,13824,1204224,7225344,693633024,33773568,20.5377478625,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,43,features.2.5.block.1.0,depthwise,depthwise,"(8, 288, 56, 56)","(8, 288, 56, 56)",8,288,288,56,56,56,56,3,3,1,1,1,1,1,1,288,2592,7225344,7225344,130056192,57813120,2.2495964930,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,44,features.2.5.block.2.fc1,pointwise,pointwise_project,"(8, 288, 1, 1)","(8, 12, 1, 1)",8,288,12,1,1,1,1,1,1,1,1,0,0,1,1,1,3456,2304,96,55296,23424,2.3606557377,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,45,features.2.5.block.2.fc2,pointwise,pointwise_expand,"(8, 12, 1, 1)","(8, 288, 1, 1)",8,12,288,1,1,1,1,1,1,1,1,0,0,1,1,1,3456,96,2304,55296,23424,2.3606557377,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,46,features.2.5.block.3.0,pointwise,pointwise_project,"(8, 288, 56, 56)","(8, 48, 56, 56)",8,288,48,56,56,56,56,1,1,1,1,0,0,1,1,1,13824,7225344,1204224,693633024,33773568,20.5377478625,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,47,features.2.6.block.0.0,pointwise,pointwise_expand,"(8, 48, 56, 56)","(8, 288, 56, 56)",8,48,288,56,56,56,56,1,1,1,1,0,0,1,1,1,13824,1204224,7225344,693633024,33773568,20.5377478625,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,48,features.2.6.block.1.0,depthwise,depthwise,"(8, 288, 56, 56)","(8, 288, 56, 56)",8,288,288,56,56,56,56,3,3,1,1,1,1,1,1,288,2592,7225344,7225344,130056192,57813120,2.2495964930,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,49,features.2.6.block.2.fc1,pointwise,pointwise_project,"(8, 288, 1, 1)","(8, 12, 1, 1)",8,288,12,1,1,1,1,1,1,1,1,0,0,1,1,1,3456,2304,96,55296,23424,2.3606557377,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,50,features.2.6.block.2.fc2,pointwise,pointwise_expand,"(8, 12, 1, 1)","(8, 288, 1, 1)",8,12,288,1,1,1,1,1,1,1,1,0,0,1,1,1,3456,96,2304,55296,23424,2.3606557377,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,51,features.2.6.block.3.0,pointwise,pointwise_project,"(8, 288, 56, 56)","(8, 48, 56, 56)",8,288,48,56,56,56,56,1,1,1,1,0,0,1,1,1,13824,7225344,1204224,693633024,33773568,20.5377478625,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,52,features.3.0.block.0.0,pointwise,pointwise_expand,"(8, 48, 56, 56)","(8, 288, 56, 56)",8,48,288,56,56,56,56,1,1,1,1,0,0,1,1,1,13824,1204224,7225344,693633024,33773568,20.5377478625,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,53,features.3.0.block.1.0,depthwise,depthwise,"(8, 288, 56, 56)","(8, 288, 28, 28)",8,288,288,56,56,28,28,5,5,2,2,2,2,1,1,288,7200,7225344,1806336,90316800,36155520,2.4980086028,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,54,features.3.0.block.2.fc1,pointwise,pointwise_project,"(8, 288, 1, 1)","(8, 12, 1, 1)",8,288,12,1,1,1,1,1,1,1,1,0,0,1,1,1,3456,2304,96,55296,23424,2.3606557377,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,55,features.3.0.block.2.fc2,pointwise,pointwise_expand,"(8, 12, 1, 1)","(8, 288, 1, 1)",8,12,288,1,1,1,1,1,1,1,1,0,0,1,1,1,3456,96,2304,55296,23424,2.3606557377,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,56,features.3.0.block.3.0,pointwise,pointwise_project,"(8, 288, 28, 28)","(8, 80, 28, 28)",8,288,80,28,28,28,28,1,1,1,1,0,0,1,1,1,23040,1806336,501760,289013760,9324544,30.9949483857,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,57,features.3.1.block.0.0,pointwise,pointwise_expand,"(8, 80, 28, 28)","(8, 480, 28, 28)",8,80,480,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,501760,3010560,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,58,features.3.1.block.1.0,depthwise,depthwise,"(8, 480, 28, 28)","(8, 480, 28, 28)",8,480,480,28,28,28,28,5,5,1,1,2,2,1,1,480,12000,3010560,3010560,150528000,24132480,6.2375686212,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,59,features.3.1.block.2.fc1,pointwise,pointwise_project,"(8, 480, 1, 1)","(8, 20, 1, 1)",8,480,20,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,3840,160,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,60,features.3.1.block.2.fc2,pointwise,pointwise_expand,"(8, 20, 1, 1)","(8, 480, 1, 1)",8,20,480,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,160,3840,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,61,features.3.1.block.3.0,pointwise,pointwise_project,"(8, 480, 28, 28)","(8, 80, 28, 28)",8,480,80,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,3010560,501760,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,62,features.3.2.block.0.0,pointwise,pointwise_expand,"(8, 80, 28, 28)","(8, 480, 28, 28)",8,80,480,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,501760,3010560,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,63,features.3.2.block.1.0,depthwise,depthwise,"(8, 480, 28, 28)","(8, 480, 28, 28)",8,480,480,28,28,28,28,5,5,1,1,2,2,1,1,480,12000,3010560,3010560,150528000,24132480,6.2375686212,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,64,features.3.2.block.2.fc1,pointwise,pointwise_project,"(8, 480, 1, 1)","(8, 20, 1, 1)",8,480,20,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,3840,160,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,65,features.3.2.block.2.fc2,pointwise,pointwise_expand,"(8, 20, 1, 1)","(8, 480, 1, 1)",8,20,480,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,160,3840,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,66,features.3.2.block.3.0,pointwise,pointwise_project,"(8, 480, 28, 28)","(8, 80, 28, 28)",8,480,80,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,3010560,501760,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,67,features.3.3.block.0.0,pointwise,pointwise_expand,"(8, 80, 28, 28)","(8, 480, 28, 28)",8,80,480,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,501760,3010560,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,68,features.3.3.block.1.0,depthwise,depthwise,"(8, 480, 28, 28)","(8, 480, 28, 28)",8,480,480,28,28,28,28,5,5,1,1,2,2,1,1,480,12000,3010560,3010560,150528000,24132480,6.2375686212,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,69,features.3.3.block.2.fc1,pointwise,pointwise_project,"(8, 480, 1, 1)","(8, 20, 1, 1)",8,480,20,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,3840,160,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,70,features.3.3.block.2.fc2,pointwise,pointwise_expand,"(8, 20, 1, 1)","(8, 480, 1, 1)",8,20,480,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,160,3840,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,71,features.3.3.block.3.0,pointwise,pointwise_project,"(8, 480, 28, 28)","(8, 80, 28, 28)",8,480,80,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,3010560,501760,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,72,features.3.4.block.0.0,pointwise,pointwise_expand,"(8, 80, 28, 28)","(8, 480, 28, 28)",8,80,480,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,501760,3010560,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,73,features.3.4.block.1.0,depthwise,depthwise,"(8, 480, 28, 28)","(8, 480, 28, 28)",8,480,480,28,28,28,28,5,5,1,1,2,2,1,1,480,12000,3010560,3010560,150528000,24132480,6.2375686212,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,74,features.3.4.block.2.fc1,pointwise,pointwise_project,"(8, 480, 1, 1)","(8, 20, 1, 1)",8,480,20,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,3840,160,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,75,features.3.4.block.2.fc2,pointwise,pointwise_expand,"(8, 20, 1, 1)","(8, 480, 1, 1)",8,20,480,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,160,3840,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
